Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
RS,-0,-0,0,0,2.67434057802605,2.32060995890724,2.27662985994186,-0,3.37000022605774,2.18265983727615,-0,0,0,0,0,2.14400418735468,-0,0,0,3.51287389155796,0,-0,-0,0,-0,0,-0,-0,0,0,0,0,0,-0,-0,0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0
CA,0,0,-0,0,0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,-0,0,0,-0,-0,0,-0,0,-0,0,-0,0,0,0,-0,-0,-0,0,0,0,0,0,0,-0,-0
DG,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,-0,0,-0,0,0,-0,-0,0,-0,-0,-0,0,0,0,0,-0,-0,-0
Sub,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,-0,0,0,-0,0,0,0,0,-0,0,0,0,0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,-0,-0
SC,0,0,2.44883839898975,0,0,2.27248232520633,0,0,0,0,-0,2.14407439395913,-0,0,0,0,-0,0,0,-0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-2.12931942352182,-0,0,0,-0,0,0,0,0,-0,-0,0,4.25796124737178,0,0,0,0,0,-0
PAG,0,-0,0,0,0,0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,0,0,0,0,-0,-0,-0,3.08223794949975,-0,0,0,-0,0,0
VTA,-0,-0,-0,-0,-0,-0,0,0,-0,-0,0,-0,0,0,0,-0,-0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,-2.43980817394122,0,-0,0,0,0,-0,0,-0,0
SN,0,-0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,-0,0,0,-0,-0,-0,0,-0,-0,-2.43980817394122,0,-0,0,-0,0,0,0,0,0,0
NclR,0,-0,0,0,-0,0,0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,0,-0,0,-0,0,0,0,0,0,0,-0
RN,0,-0,0,0,0,0,0,0,-0,-0,-0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,-0,0,-0,-0,0,-0,0,0,0,0,0,0,-0,0
MB,0,-0,0,-0,0,0,0,-0,0,0,-0,-0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25796124737178,3.08223794949975,0,-0,0,0,0,0,0,0,0,0,-0
Pons,0,0,0,-0,0,0,0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,-0
Periv,0,0,-0,-0,-0,0,0,0,-0,0,0,0,-2.08567465205665,0,-0,-0,-0,-0,-0,-0,-0,-2.13727821732362,0,-0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,-0,0,0
Hyp,0,0,0,0,-0,0,-0,0,-0,0,0,0,-0,-0,-2.74351364168359,-0,-0,-0,-0,-0,0,-3.02427149988886,-0,-0,-0,-0,-0,-0,0,0,0,-0,0,-0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,-0,0,0
Aud,0,0,0,0,2.28682510634903,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,-0,-0,-0,0,-0,0,-0,0,-0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,0,0,0,-0,-0,0,-0,0
V,0,0,0,0,0,0,0,0,-0,-0,-0,0,0,0,0,0,0,-0,-0,0,-0,0,0,0,-0,0,-0,0,0,0,0,0,0,-0,0,0,-0,-0,-0,0,0,-0,0,0,-0,0,0,0,0,-0,0,0
IC,-0,0,0,0,0,-0,-0,-0,0,0,-0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,-0,-0,-0,-0,0,0,0,-0,0,-0,-0,0,0,0,0,0
