Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
Visc,-0,-0,-0,-0,-0,0,0,-2.87137095181626,-0,-0,0,-0,0,0,0,0,-0,0,0,-0,-0,0,0,-0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,0,0,0,-0,-0,0
Perih,-0,-0,-0,0,0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,0,-0,0,-0,-0,0,-0,0,0,-0,0,3.05435045988474,0,-0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,-0,0,0,-0
Ect,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-2.73891617234042,-0,0,0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,0,-0,0,0,0,0,2.42102193965252,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-2.12969336248157,-0,-0,-0,0,-0,0
Ent,0,-3.30886554672362,-0,-2.1485121658488,-0,-0,-0,0,-0,-0,0,-0,-0,-0,0,-0,-2.68893636743268,-0,-0,-0,-0,-0,0,0,-0,0,0,0,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-2.57833992887908,-0,-2.55220435751772,-0,0,-0,-0,-0,-0
Temp,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-2.43053524643267,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,0,0,-0,0,2.89093357158311,0,0,-0,-0,-0,-0,0,0,0,-0,-0,-0,-0,0,2.69829440042446,-0,0
ParAss,-0,0,-2.23320901055928,-0,-0,0,0,0,-0,2.45001896327588,0,0,0,-0,0,-0,0,-0,0,2.22333952406385,-0,-0,0,0,0,0,0,-0,0,-0,3.05435045988474,2.42102193965252,-0,2.89093357158311,0,-0,0,0,0,-0,-0,0,0,0,2.24972096290007,0,0,-0,-0,3.55026373679663,0,0
RS,-0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,-0,0,0,-0,0,0,0,0,0,-0,-0,0,-0,0,-0,-0,0,-0,0,-0,0,0,-0,-0,0,0,0,0,0,-0,-0,-0,0,0,-0
CA,0,-0,-0,-0,-0,0,0,0,-0,2.07921401941269,-2.18152742667135,-0,0,-0,0,0,-0,-0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,0,-0,-0,-0,-0,0,0,0,-0,-0,-0,2.30461160704944,0,0,0,-0
DG,0,-0,-0,-0,-0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-2.44187273503934,-0,0,-0,0,2.54413619331563,0,0,-0,0,-0,-0,0,-0,0,-0,-0,-0,0,0,-0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,2.142727386583,-0
Sub,0,0,-0,-0,-0,0,0,-0,0,0,-0,-0,-0,0,0,0,-0,-0,-0,-0,-0,0,-0,0,0,-0,-0,0,-0,-0,0,0,-0,-0,0,0,-0,-0,0,0,0,-0,-0,-0,0,0,-0,0,0,-0,0,0
