,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
S2,0.209368693610796,0.246417719778586,0.229836440677401,0.192866073794461,0.228914005994409,0.341687925421522,0.265549394492801,0.55769878872794,0.37589663965394,0.662236674785679,1,0.124242446901336,-0.0207607770083233,0.0036189171828802,0.355974560760965,0.185455173622282,0.13486131920676,0.268747252461337,0.152846476865587,0.529406436219863,0.282159290033784,0.245457194288985,0.508629254403186,0.22837658542509,0.0625579404604898,0.334177780866073,0.176550980829041,0.423802848747965,0.49654666422899,0.692423550421429,0.195687827633499,0.263128950636862,0.105271683675828,0.228825671938632,0.0484195720658983,0.0759422675415043,0.000252002209927079,0.0403671265081089,0.0448119489123327,0.135062059183954,0.0572145596784179,0.135864112196539,0.0763802999844165,0.110565128407637,0.133376811209338,0.231984564576613,0.0755954354079899,-0.0810263446256039,0.142954702512991,0.251079120718645,0.125564229457142,0.186015134033458
OB,0.199917050396358,0.547319814053704,0.420550698050085,0.436190074183421,0.359276142941747,0.270105092747884,0.204789069746782,0.178091834613599,0.338180965768325,0.265946350398818,0.124242446901336,1,0.469031234867869,-0.0263997480773844,0.0748105404371824,0.395027292436996,0.505581987933234,0.259778971437969,0.18131426643975,0.227295209568165,0.253011567504003,0.0681948119687967,0.178434945665403,0.00264755981714285,0.0917910570813643,0.130166181992974,0.134283766959664,0.0621903836298957,0.0723478517701654,0.0653543748864413,0.0716712738724208,0.0689913482804841,0.102047612236615,0.0618671277425348,0.112262983593332,0.197387148210951,0.170242826313202,0.121093701489252,0.146050776585577,0.268310127010166,0.206241192222611,0.10102790113424,0.0819821102998696,0.0884722097203339,0.125893513807827,0.195969938051991,0.140041531079047,0.0535496774242582,0.0444622065227766,0.174390125884107,0.078849944986921,0.222439177328996
AON,-0.0456330192811242,0.500443227851227,0.370058305876665,0.452831674626281,0.334375705588083,0.179843911311871,0.184613947661096,0.117205439881007,0.190521147734517,0.144597049525064,-0.0207607770083233,0.469031234867869,1,-0.0111938015102232,0.00769463484863474,0.460676759163516,0.69210646655069,0.283901428797967,0.270328794560507,0.0779126681922222,0.213340625351363,-0.0869959831001555,0.00116071319541489,-0.0108637036526069,0.180827876908224,0.118267513466636,0.131337604072827,-0.100047622324219,-0.0580917542419491,-0.119564485868412,0.0523214349376874,0.110415737715799,0.115232093072485,0.0829382087648931,0.166537973309071,0.200217242353306,0.248481353736256,0.142272428191655,0.175924142984965,0.213907356282815,0.187168610300048,0.11973616504554,0.0384722401380968,0.0421270248495253,0.0775517831320703,0.158901698737268,0.0905184812191544,0.112987815706563,0.117781430246149,0.237553681142054,0.0661768499876579,0.0868625445203851
Otu,-0.0703824936636755,-0.0475196585369388,-0.141560623223328,-0.0598366409581753,0.00167116031573765,0.0951644649917022,0.124558671259386,0.112190887644384,-0.0584736696027959,0.127793014764523,0.0036189171828802,-0.0263997480773844,-0.0111938015102232,1,0.455642937612297,-0.0594589371628044,-0.0639040271704681,0.0145038597316566,0.39700419159201,0.0408805972210458,0.139600213624351,0.460478548640009,0.105356970548832,0.285721739475611,0.181574692781382,0.352983960376469,0.527839634171747,0.220847269014594,0.240391062899319,0.0158635511898787,0.0929025361132229,0.102141994594033,0.0400936442371711,0.121760446313663,0.194173275413522,0.216558812694217,0.124080100388579,-0.0415602143183176,-0.0669425310324561,-0.0639173642118393,-0.0191080649383201,0.0891127019342782,0.0587714027279813,-0.0858602715957434,-0.0253807689839612,-0.0147156252302188,0.0441717874802092,0.247696294106842,0.307004022767665,0.157507669537039,0.0475699755265201,-0.0798888492456975
Pir,0.121066520682881,0.172704384664205,0.0822656652408757,0.0927676863212417,0.183538752874934,0.296005519463094,0.316831698869043,0.327072903473104,0.185259058876635,0.368746260455736,0.355974560760965,0.0748105404371824,0.00769463484863474,0.455642937612297,1,0.109749902635974,0.0555250902049911,0.180710125222182,0.29320251880756,0.34892691116858,0.201912151482449,0.407947245528443,0.449256214983076,0.653752972152713,0.278120953340233,0.496826359381692,0.49842806827663,0.611005882165791,0.399760420801195,0.484886554600432,0.438003690524009,0.408135150022983,0.0590541251631404,0.341559826723186,0.237929801168022,0.314723443691021,0.182197685767259,-0.0218361102595414,-0.172970089835664,-0.0956507750796719,-0.153490444779325,0.199253042500378,0.155206013641616,-0.00718331076138509,-0.0157069637582098,0.0328777603949124,-0.0724342581232666,0.0303256268437257,0.416866590533261,0.283728084535948,0.228136529865866,0.068946750882395
DPA,0.138478920769041,0.677615138899802,0.555699092784254,0.759592065430065,0.4752883716015,0.347326020329608,0.298679065321398,0.269809580649813,0.303413378168661,0.321517968882927,0.185455173622282,0.395027292436996,0.460676759163516,-0.0594589371628044,0.109749902635974,1,0.773235762490114,0.515277240196815,0.413255561522515,0.353800405015943,0.35663927378489,0.106718343991748,0.222773840203687,0.04283710357256,0.154808743471738,0.301270173687639,0.260600050350659,0.0316284759883598,0.131046903447474,0.0603244231151907,0.0832284840521783,0.111841133905434,0.0921761032588241,0.100598515938086,0.149333407908336,0.243208567142709,0.157310751416197,0.0674695442582929,0.0942831639299047,0.195175242805059,0.137200162843135,0.107387227433165,-0.00415772483943,0.0188134494412683,0.0733843848459205,0.175020413723929,0.0841309596827785,0.0540982441628991,0.13246604391961,0.241884772370946,0.0378496570388454,0.119332165078789
TT,0.137217075707441,0.703021187589713,0.548344230140393,0.694243361471675,0.489344611209405,0.350588938024612,0.333951507098676,0.24886458251345,0.341915990985973,0.322013056123978,0.13486131920676,0.505581987933234,0.69210646655069,-0.0639040271704681,0.0555250902049911,0.773235762490114,1,0.471401505167912,0.365648046152749,0.28681159940801,0.310659927063832,0.0174035193997905,0.158633461516835,0.0486207794041621,0.178282849228731,0.188144212709862,0.182147831249013,-0.0418006142025135,0.0585927117329932,-0.00606410592634924,0.122324058437655,0.161136090969242,0.0929944107021907,0.153477114798112,0.153662454051497,0.244787161498691,0.227675169519172,0.114979833677133,0.105704354174417,0.233227626918891,0.181604897178534,0.11419355930831,0.0163432155080658,0.0443779593100948,0.0784743798771276,0.175310608516242,0.0741471757052321,0.0745827537387126,0.127748020320599,0.289000516732494,0.0595779752115801,0.14572632163927
Sept,0.0591377882310448,0.502064618456123,0.471568511715357,0.595108507599325,0.53587573052527,0.447628400692743,0.387708484260284,0.375883327392621,0.250446911071625,0.41315417498886,0.268747252461337,0.259778971437969,0.283901428797967,0.0145038597316566,0.180710125222182,0.515277240196815,0.471401505167912,1,0.479354131011116,0.586721444881264,0.639817751844491,0.3111881935987,0.338593102066757,0.0688872921537702,0.171154777715453,0.312352612370313,0.217309127886211,0.215516742265294,0.231098556889494,0.173647672979625,0.0677784365159676,0.0850293610408878,-0.00982010657780223,0.0836317414067658,0.151742706531796,0.258358830918285,0.122421766956143,0.0863217472601695,0.0414476269918901,0.187943728132148,0.127848957554339,0.0838052390876492,-0.0691930414214322,0.0496454709998839,0.0751008552318841,0.164312958955864,0.0238978905601135,0.170338335386133,0.258637102744492,0.204121843234613,0.0625652398645641,0.0835374662694735
Nacc,0.0360605545084734,0.397370702669784,0.244385917405376,0.372253378640853,0.283448073070119,0.325928584289642,0.281672120009155,0.288888804961835,0.151962367346089,0.315948225076496,0.152846476865587,0.18131426643975,0.270328794560507,0.39700419159201,0.29320251880756,0.413255561522515,0.365648046152749,0.479354131011116,1,0.433528920396467,0.405834378140012,0.451696651780466,0.279189545911544,0.131046503783961,0.134324423751988,0.506301641790835,0.504773853879496,0.122794619912767,0.266222521256471,0.0378432510264149,0.0816962035095293,0.0906642890980881,0.0544171613105777,0.0909557315992456,0.167204450576991,0.230364657472489,0.172098787949475,0.130450093962639,0.101181496283965,0.1765174639346,0.132014010669457,0.127320290474984,0.044868685899126,0.0708143661699983,0.169935006878977,0.224126962700893,0.151560888791017,0.166315787686973,0.221802219257643,0.196802203574958,0.0859553165160547,0.0681691770604786
CP,0.224866246334481,0.464017010333214,0.39428903085637,0.421214261278317,0.488689786207067,0.544279728592098,0.465331953505092,0.576384974068347,0.368195823765342,0.609020345043303,0.529406436219863,0.227295209568165,0.0779126681922222,0.0408805972210458,0.34892691116858,0.353800405015943,0.28681159940801,0.586721444881264,0.433528920396467,1,0.566891781334686,0.478764993919074,0.663461733444166,0.18598920518892,0.150792469470343,0.535336173146312,0.379915168038344,0.400395438335333,0.49687511659667,0.437619320700222,0.13087165645149,0.152582072780348,-0.0192133346619966,0.121599966917089,0.155711930265631,0.243611831963878,0.103193382087999,0.105025810277229,0.0372964152832788,0.197493386750899,0.102754560330194,0.149218860447162,0.0230814111331651,0.0967217016276555,0.159598250766314,0.262753779469705,0.0703954148217357,-0.0415106870207679,0.194707000637207,0.208828869911376,0.151448920742058,0.130588632657348
Pall,0.0945822642715194,0.36526884045861,0.309877573478495,0.389400851690292,0.399697399262907,0.42734030653486,0.380965786649824,0.375171047244657,0.222825038188095,0.337447313065113,0.282159290033784,0.253011567504003,0.213340625351363,0.139600213624351,0.201912151482449,0.35663927378489,0.310659927063832,0.639817751844491,0.405834378140012,0.566891781334686,1,0.432810330998952,0.312534801641705,0.136683305126354,0.213962635478156,0.358760210819464,0.268764791190113,0.228635797143786,0.287461951560557,0.214448963692119,0.0847146398062997,0.129197552035821,0.0342055760871118,0.131360278912252,0.142563543299961,0.236652263832621,0.160127056615213,0.152756092111724,0.0931293096293136,0.189317819705654,0.102310101420938,0.154672072378349,-0.0265645610704605,0.0190299008399218,0.0912110910690662,0.162389350176219,-0.0129102713128698,0.349554854132102,0.387249557102859,0.154757733635828,0.115531822848488,0.1096293405682
VP,0.0619209596603723,0.10489376568041,0.058053675209848,0.130839673510682,0.13453396796966,0.221869848606534,0.182727718157552,0.253238818501465,0.0630219432636643,0.304213548461956,0.245457194288985,0.0681948119687967,-0.0869959831001555,0.460478548640009,0.407947245528443,0.106718343991748,0.0174035193997905,0.3111881935987,0.451696651780466,0.478764993919074,0.432810330998952,1,0.411304220002086,0.197770834659481,0.0973946174566245,0.366367605769017,0.333005358096889,0.367679501267422,0.370767217446467,0.204334318356533,0.0506178564569839,0.0724346684475382,0.0422407228249635,0.0687537132134299,0.0921669147289944,0.141173984307739,-0.0129286891908138,-0.00691423274075917,-0.00924457399056088,-0.00277083820584694,-0.00627324229676572,0.09687425667783,0.0382741573154506,0.0316940832020277,0.0900926563745704,0.122582595226604,0.148857665844484,0.109118140127308,0.228335904794775,0.0250179388483112,0.0423298644133409,0.0289033420664959
Cl,0.197818753945379,0.312886052717325,0.196593064078003,0.246147595507921,0.235017400665321,0.356735434886095,0.308161327519277,0.481699290359287,0.238361757747429,0.466319337102188,0.508629254403186,0.178434945665403,0.00116071319541489,0.105356970548832,0.449256214983076,0.222773840203687,0.158633461516835,0.338593102066757,0.279189545911544,0.663461733444166,0.312534801641705,0.411304220002086,1,0.259078577084658,0.071372089803595,0.536733970852601,0.416490520026609,0.605923249514771,0.604648777199984,0.567430039683497,0.16171814999335,0.167726994118146,-0.0143258771944614,0.127779565878751,0.0859786707482164,0.115285307814305,-0.00657434344379362,-0.0244661451473466,0.00388518680594479,0.0997177427941037,0.0606303036989089,0.100161446431265,0.00539581618327568,0.030523841756042,0.0902003225696261,0.166488302758866,0.0355198182426817,-0.104413516289335,0.161571601798066,0.158036651923804,0.164399562603342,0.152206876519266
Amyg,0.0896338899574936,0.0732264029485871,0.0917430560309501,0.0442893045074354,0.15804569771117,0.304541009744344,0.387817015440802,0.234122732112398,0.250107858492404,0.263835726812409,0.22837658542509,0.00264755981714285,-0.0108637036526069,0.285721739475611,0.653752972152713,0.04283710357256,0.0486207794041621,0.0688872921537702,0.131046503783961,0.18598920518892,0.136683305126354,0.197770834659481,0.259078577084658,1,0.390128454146163,0.240731681518323,0.239497445719174,0.360710142420229,0.198751508034992,0.309980564494944,0.442749228629065,0.408464193378785,-0.0548789531429269,0.372083041853765,0.230996974083746,0.273783233341091,0.149910867397526,-0.0306863384563618,-0.228377303935485,-0.146210781930016,-0.235250453169751,0.214003286980629,0.121936053496541,-0.0422353974326825,-0.0911349505451296,-0.0689007219567936,-0.180648117150474,0.170199236588859,0.566652196772883,0.309010770978953,0.191931831221776,0.0553644115982277
ZI,-0.0343577052894015,0.169798337644277,0.195250004486487,0.201935442287139,0.310218402173971,0.485871939226018,0.589973207469419,0.175495125285203,0.21634801035307,0.23618330945621,0.0625579404604898,0.0917910570813643,0.180827876908224,0.181574692781382,0.278120953340233,0.154808743471738,0.178282849228731,0.171154777715453,0.134324423751988,0.150792469470343,0.213962635478156,0.0973946174566245,0.071372089803595,0.390128454146163,1,0.147517073786303,0.182147038490064,0.0857591971450565,0.0504075606687806,-0.00835655434553954,0.274439524662582,0.282694775625382,0.0947825806268224,0.24515827917386,0.254503707655991,0.389668467971709,0.32757533281376,0.117031916055921,-0.0126993110681578,0.102001154986902,0.0806241208902401,0.403486600919011,0.126853585943604,-0.0245845861996538,0.00533924529442037,0.136903111236647,-0.112818360415064,0.161045680529218,0.469147356955135,0.311581487619695,0.131694463493962,0.0911125236246964
I_dors,0.173403966600293,0.396360950874708,0.119298057095719,0.24650860715147,0.228027939912502,0.378956856644291,0.328264995529259,0.509353128018669,0.146924749007032,0.395174241333671,0.334177780866073,0.130166181992974,0.118267513466636,0.352983960376469,0.496826359381692,0.301270173687639,0.188144212709862,0.312352612370313,0.506301641790835,0.535336173146312,0.358760210819464,0.366367605769017,0.536733970852601,0.240731681518323,0.147517073786303,1,0.747775863167837,0.387018289733713,0.606501609268895,0.373351195612423,0.0866043344871019,0.124055481131463,-0.0230499201870878,0.108026912978617,0.160915019953228,0.275912088007619,0.148108228048899,0.0893936133298833,0.024098416557699,0.09210963438873,0.0374382120688947,0.171682971467007,-0.00112236557780521,0.0265081341041343,0.0780175406870561,0.152988929547281,0.0270537548732316,0.0380353245329743,0.26681308059212,0.221240312723616,0.223793846439182,0.0977929499733707
I_ventr,0.0805035510022091,0.335930507604578,0.114844131148289,0.225972806549928,0.249456793934942,0.274680246756995,0.258650396245178,0.309908489994806,0.081922411580774,0.301554641849205,0.176550980829041,0.134283766959664,0.131337604072827,0.527839634171747,0.49842806827663,0.260600050350659,0.182147831249013,0.217309127886211,0.504773853879496,0.379915168038344,0.268764791190113,0.333005358096889,0.416490520026609,0.239497445719174,0.182147038490064,0.747775863167837,1,0.267528945649477,0.405192503963276,0.144592024795014,0.0393403194488395,0.0752517332983363,0.0757990019449282,0.0525403053147077,0.243642398511424,0.291382719913705,0.177953112024823,0.0551168049442789,0.0554144065587203,0.0969846200826642,0.0655890003185436,0.160078190633267,-0.0106678884742087,-0.0234017165326759,0.0444035900405666,0.120242684111561,0.0750917950721078,0.0913350821178313,0.287760957205218,0.212604247260645,0.148508725027107,0.0515482167341782
I_post,0.188608663424054,0.106180844717069,0.0634116218488379,0.0687715345825966,0.134687805782705,0.245323452690753,0.212056194910418,0.383147452416559,0.135325872133226,0.336927655918023,0.423802848747965,0.0621903836298957,-0.100047622324219,0.220847269014594,0.611005882165791,0.0316284759883598,-0.0418006142025135,0.215516742265294,0.122794619912767,0.400395438335333,0.228635797143786,0.367679501267422,0.605923249514771,0.360710142420229,0.0857591971450565,0.387018289733713,0.267528945649477,1,0.521997533937406,0.686250701459651,0.210207563579154,0.213257795685571,-0.0936436107047633,0.16611420043616,0.115367614422305,0.128541686429952,0.00864178179061162,-0.0822226661315882,-0.159240179282328,-0.0797364896423821,-0.113894392005602,0.0775099949633748,-0.0100405361871438,-0.0224735225436046,-0.0791350332496879,-0.00479996133937276,-0.120988508690505,-0.0456767603555993,0.256002519690596,0.13136616775864,0.146781891293731,0.0442220223049827
Gust,0.163486297918954,0.190706487505746,0.0631722771636567,0.10858855487281,0.102839799150409,0.258076454604289,0.226524206394585,0.646270248485179,0.192440355622132,0.451249608520836,0.49654666422899,0.0723478517701654,-0.0580917542419491,0.240391062899319,0.399760420801195,0.131046903447474,0.0585927117329932,0.231098556889494,0.266222521256471,0.49687511659667,0.287461951560557,0.370767217446467,0.604648777199984,0.198751508034992,0.0504075606687806,0.606501609268895,0.405192503963276,0.521997533937406,1,0.563553831309696,0.0816639943577323,0.119550543025984,-0.0312339914221279,0.0984465260455468,0.0342226040275624,0.0808118676059157,-0.00665111554153174,0.0133839976020757,-0.010469448600355,0.0611227230663799,0.00832686198153928,0.108323447416526,-0.00799192279664556,0.0213811826232049,0.0796588176201278,0.122147496317955,0.021439033485881,0.0173211353200647,0.173603044777604,0.11654732527429,0.156212960336609,0.105424232520306
