TimeIndex,Mean,SEM,SmoothedMean,SmoothedSEM
159,35152.7305224159,5436.65945060319,35378.4325546153,5253.74319310075
160,35114.921736939,6244.41065897362,35375.8239744882,5253.64838691788
161,35614.9234534807,6024.73212167664,35373.4814603609,5253.60438529659
162,35947.1032861652,5736.67405047867,35371.3872617288,5253.53171290998
163,36009.5215526569,5530.87221499091,35369.3363392874,5253.46598472919
164,36147.3240319145,5409.38937304713,35367.2051864462,5253.30868485836
165,36398.9530061102,5207.30657239937,35364.9718275796,5252.90796516957
166,36503.4288898713,5126.42087080518,35362.6500640927,5252.71591663664
167,36444.1987792305,4591.61737620143,35360.0453087207,5252.67845346657
168,36587.4973513533,4569.91408252591,35357.5121574623,5252.3156528989
169,36770.4203060706,4459.41162416545,35355.1105387752,5251.81554928968
170,37000.7421994392,4419.6175227181,35352.5206153754,5251.41593095769
171,36871.3604545444,4407.43627956152,35350.6060282147,5250.92741891575
172,36941.2512274057,4424.52739103049,35348.1292880022,5250.90678762567
173,37266.0253518328,4121.72600111247,35345.13996775,5251.51623015246
174,37511.3058162006,4242.78772304032,35342.173409264,5252.08792610411
175,37540.747237526,4244.80003009245,35339.5338997856,5253.01270262471
176,37625.000733298,4354.35862304723,35336.2668947583,5253.26747869519
177,37650.0859460292,4638.00943649041,35333.1456191438,5253.45659529248
178,37750.2393606862,4735.39541005505,35329.62268471,5252.99485124602
179,37321.3809345881,4685.4696035803,35326.9051450293,5252.44791698954
180,37218.5068825973,4685.34732580873,35332.2358414133,5252.43864040184
181,37428.6648606585,4752.7700815906,35337.4358635502,5252.56281748954
182,37222.5483313478,4833.79403486438,35343.4174901852,5253.26258214663
183,36759.0093360867,4693.20548290518,35348.4424362493,5254.32518698869
184,36453.0247568814,4954.46696734301,35352.4556412331,5256.35910872553
185,36500.4895532055,4916.76222791696,35356.1487055405,5259.38667164998
186,36140.227880266,4832.21187870212,35360.2271544593,5262.57875920768
187,36322.6990222878,4637.04683150795,35363.8662707921,5265.71840221199
188,36423.3116752012,4550.90184756402,35367.5697224897,5268.95936804918
189,36303.1414875167,4542.77428759588,35371.3571196017,5271.80642264811
190,36218.3194154447,4525.02623338337,35376.6098618511,5273.4786892285
191,36248.7020834917,4482.50956657917,35382.0758787717,5275.21644703422
192,36087.0828101908,4531.22880510103,35386.5304010144,5277.26501538213
193,35983.8950395255,4596.56727529073,35391.3325293297,5279.33915836639
194,35968.5538236565,4614.25185345925,35396.4897004063,5281.47316694584
195,35843.8988881534,4557.47102517671,35401.824873297,5283.96091166013
196,35745.0852621113,4607.25439356791,35406.5741780677,5286.51504883578
197,35719.7830492152,4614.67835021176,35411.4311198909,5288.7593404962
198,35616.6510336227,4663.22202893781,35416.2757439128,5290.88934846216
199,35593.247834211,4679.90971889644,35421.2151027163,5293.41166447819
200,35574.9199771222,4627.64893232218,35424.5680321751,5296.30768172415
201,35530.5093309279,4625.347468339,35425.8423395429,5297.36537134067
202,35569.03178731,4595.70290556894,35426.7579110364,5297.78336364914
203,35388.8691792062,4798.98901674809,35423.5669675471,5300.33755773151
204,34836.7005106922,5004.87412292517,35419.2186654832,5301.53953458781
205,34501.5942303374,5229.11897133812,35416.1820094976,5301.7476175037
206,34157.1250437789,5306.56738999906,35415.5842731366,5300.84278796158
207,34218.027071861,5040.92105428863,35413.5726031061,5300.53444087821
208,34355.5433854147,4589.23118415083,35410.1996158333,5299.13306363769
209,34118.6371356093,4691.22145777773,35405.9124525535,5297.73630400533
210,34204.4227171828,4728.0365257355,35402.0880548757,5295.66149617862
211,34434.9396530224,4862.70850098396,35394.1491377627,5290.37943817478
212,34665.4771688692,4792.55714416959,35386.8311637141,5287.53511277369
213,34815.4880656347,4643.10174769361,35376.7991188457,5286.64473145995
214,35056.5402928925,4831.23590406978,35365.1431350842,5285.58386956009
215,35159.4597295867,5131.26352871334,35352.7314501364,5285.0009614093
216,35146.129046194,5142.4118699664,35345.9576778259,5283.05026852498
217,35122.4993328271,5150.59025411162,35337.5739517625,5282.30040010621
218,35144.9537221421,5176.33059098171,35331.8574726665,5281.41724677574
219,34802.4635917613,5338.23994866864,35326.2322994704,5282.51910723105
220,35001.0309950371,5270.57453718076,35320.8012265744,5283.39315340171
221,34767.1523911013,5301.15882568162,35314.7662166684,5284.75087540896
222,34741.5743464272,5131.5813472213,35308.2268294985,5286.46952341764
223,34634.816834631,5221.39688767746,35297.6014314115,5288.7870391596
224,34922.8328898071,4965.37199002771,35286.8269510984,5289.40819420017
225,34976.8682746838,4836.16587762634,35276.0462075937,5290.2373621818
226,35055.8309337711,4854.11452622372,35267.0946624798,5289.32197379056
227,35165.5761832469,4847.50826826836,35258.1504001725,5288.80212372643
228,35134.9117682318,4819.36974646786,35248.6095182878,5287.94037653331
229,35129.5430289948,4746.99692523116,35244.732957216,5285.03205835569
230,35194.9860516768,4833.62105270404,35244.2154048246,5277.36716684022
231,35104.4562665692,4842.14378172281,35242.3185291436,5270.47056046817
232,35105.0460207057,4878.40707210682,35240.5076755363,5263.37994552697
233,35159.4960753113,4919.44032161907,35238.7616204627,5257.2471853779
234,35159.6537732323,4950.90589829779,35235.9146953595,5251.71408051387
235,35169.5576690441,4842.84260158939,35232.792401102,5246.09728820808
236,35442.6540479188,4756.84834183727,35229.9383104839,5241.57576692292
237,35458.2623095237,4814.21347273436,35226.2753125886,5236.61666111418
238,35236.9979424713,5059.99372334948,35222.5882713084,5231.54495516843
239,35009.5012647084,4723.33086218982,35218.162556648,5226.62041286844
240,35081.0779155437,4625.69583824635,35213.5160419871,5221.69463704778
241,35186.0476438805,4594.9981383543,35207.4144202738,5217.64296481299
242,35119.0441983705,4527.96608033551,35201.5063695035,5213.66270007296
243,35172.484069911,4491.39718827569,35194.4034926479,5209.59177547297
244,35071.2290102556,4513.55582828943,35187.4763811299,5205.61337146511
245,35106.2308524379,4508.06050038122,35180.4761857469,5201.48107449183
246,34964.7286562462,4494.46278921697,35172.3243047504,5197.91457534465
247,34937.9190635502,4499.87392810612,35163.3646973999,5194.8168955937
248,34782.1155951742,4551.01157571823,35154.9772384538,5191.20297262894
249,34764.8001294969,4595.24271232399,35146.2117540805,5188.20792225227
250,34338.4606638718,4794.26016992805,35137.7255820558,5184.6966729981
251,34363.0752446901,4617.51480318887,35129.2348197414,5180.69131922133
252,34330.4367145397,4661.51235035449,35121.4503768992,5176.3386827321
253,34649.8813020624,4521.54586198099,35115.2828962973,5171.03912017679
254,34182.3949446649,4577.91020866608,35109.2936730439,5165.52864342213
255,34259.3322949662,4670.50854778901,35103.4258118696,5160.17849951078
256,34212.9634760621,4707.79890942933,35097.2180462604,5154.63793134913
257,34488.6048318244,4586.42789016402,35091.0393002338,5149.47485448061
258,34517.3379495475,4579.89607324795,35086.0730761596,5143.52412285754
259,34635.0574839945,4385.40493997432,35080.8078322034,5137.93750049846
260,34782.7716892669,4375.7993788996,35074.9553196258,5132.34212761032
261,34655.2696255533,4577.98253894303,35068.6007314852,5127.64431432588
262,34506.5608932581,4988.30400707337,35062.3119364912,5122.97672902949
263,34680.8216516805,4891.79414854693,35057.9712434145,5118.76969520532
264,34655.2065492826,4881.20691188211,35053.4415223337,5114.28398965606
265,34699.660119363,4753.05673294705,35048.0786190993,5110.14014106897
266,34790.5742305876,4827.9884229763,35042.2510727569,5105.69258682391
267,33959.9383454676,5200.28928834588,35038.0497757647,5099.42605362405
268,33608.7849615134,5437.69076035142,35031.6987935826,5094.23301704496
269,33607.8313460114,5336.2446059684,35025.5754866458,5089.21980873718
270,33428.4554565494,5393.21350470578,35019.0452402524,5084.55170935258
271,32930.8204662284,5610.26040248692,35012.332521928,5080.03369402535
272,32946.65400666,5622.00186882392,35005.8477811882,5075.27850343233
273,32911.2744261278,5637.88046772998,35000.1411062969,5070.47592125993
274,32813.2658504307,5838.73785870605,34993.4948834961,5065.80107387572
275,32329.5314196332,5829.87845584135,34988.2878064077,5060.56877696174
276,31945.9464005327,5810.95498981226,34983.6763381378,5054.69894879682
277,32069.6578167571,5708.85482496145,34979.2380896552,5048.65711725063
278,32441.8376737261,5774.92506569872,34975.2184840572,5042.99589241365
279,32225.7324351039,5923.29868560922,34971.8482244771,5037.25216380856
280,32182.8069118357,5911.92699999835,34968.5306000941,5031.4854997539
281,32204.3768683992,5934.80625021497,34966.5857834549,5026.26705157839
282,32330.8729252358,5887.72373692368,34964.0117181285,5020.6046267686
283,32606.7890076455,6026.13912455022,34961.4380574145,5015.07448971046
284,33025.4402802389,5820.57893830062,34957.732021476,5009.90917626421
285,34843.241948823,5524.93355123117,34953.3465665058,5004.30679265631
286,35041.9012977938,5528.05550195464,34947.9252275891,4999.54695846713
287,34946.0926949835,5774.73670316516,34942.2640506128,4994.73339925429
288,35337.4705737147,5479.83557239353,34936.743261605,4989.76068618805
289,35558.1924739123,5265.41827247045,34930.7189033286,4985.28323632566
290,36131.3437336582,5372.33279287548,34924.7096424001,4980.43785804618
291,35901.29898046,5499.92340401727,34919.0179776247,4975.29676999838
292,35358.0832240153,5023.95008429206,34914.048561448,4969.51301079557
293,35676.1900424686,4875.08959104171,34909.3151436527,4962.11366459101
294,36050.1415348773,4750.25524488954,34902.6060806808,4953.26625093002
295,36001.0228202759,4922.25816307787,34896.3709056056,4944.18354794694
296,36226.3254239123,5011.22248132316,34890.1585728879,4934.33354519278
297,36333.3678249751,5065.42546843669,34884.3867950695,4924.57168171856
298,36559.4027579758,5039.86927098342,34878.6683930086,4914.55710280061
299,36295.529931263,5071.50627620446,34869.751299619,4908.03396919005
300,36361.0111410542,5066.54895996572,34861.6924913762,4900.78240238572
301,36144.704279147,5264.93263800234,34853.6718046373,4893.51734027978
302,36054.3196982458,5363.16655890266,34846.4232234953,4885.69165601139
303,36174.3701987641,5350.53474082051,34838.4628601211,4877.69180048119
304,36286.0390058189,5261.1761295321,34829.8917704687,4869.23049814468
305,35882.7022795356,5295.360580087,34819.9020953236,4859.66381881053
306,35884.5730681476,5215.32423974832,34809.9955626074,4849.98280681816
307,35950.4125017408,5150.7042060644,34800.3534827852,4840.15381047053
308,35868.5228877629,5151.29825545207,34790.66356382,4830.21457953965
