"block","animal_ID","lid_TP1","block_label"
"1","4",0.95,"PRE"
"1","4",0.993,"PRE"
"1","4",1.063,"PRE"
"1","4",1.023,"PRE"
"1","4",1.019,"PRE"
"1","4",1.035,"PRE"
"1","4",0.95,"PRE"
"1","4",1.021,"PRE"
"1","4",1.139,"PRE"
"1","4",0.991,"PRE"
"1","4",1.037,"PRE"
"3","4",1.16,"TEST_81_100"
"3","4",0.929,"TEST_81_100"
"3","4",0.948,"TEST_81_100"
"3","4",1,"TEST_81_100"
"3","4",0.863,"TEST_81_100"
"3","4",0.982,"TEST_81_100"
"3","4",0.933,"TEST_81_100"
"3","4",0.856,"TEST_81_100"
"3","4",0.898,"TEST_81_100"
"3","4",1.049,"TEST_81_100"
"3","4",1.045,"TEST_81_100"
"3","4",1.135,"TEST_81_100"
"3","4",1.051,"TEST_81_100"
"3","4",1.11,"TEST_81_100"
"3","4",0.89,"TEST_81_100"
"3","4",0.901,"TEST_81_100"
"3","4",1.088,"TEST_81_100"
"3","4",0.856,"TEST_81_100"
"3","4",1.02,"TEST_81_100"
"4","4",1.209,"TEST_101_120"
"4","4",0.965,"TEST_101_120"
"4","4",0.981,"TEST_101_120"
"4","4",1.016,"TEST_101_120"
"4","4",1.043,"TEST_101_120"
"4","4",0.87,"TEST_101_120"
"4","4",0.945,"TEST_101_120"
"4","4",0.993,"TEST_101_120"
"4","4",1.017,"TEST_101_120"
"4","4",0.953,"TEST_101_120"
"4","4",0.965,"TEST_101_120"
"4","4",1.249,"TEST_101_120"
"4","4",0.963,"TEST_101_120"
"4","4",0.92,"TEST_101_120"
"4","4",0.983,"TEST_101_120"
"4","4",0.995,"TEST_101_120"
"4","4",1.087,"TEST_101_120"
"5","4",0.989,"TEST_121_140"
"5","4",0.923,"TEST_121_140"
"5","4",0.99,"TEST_121_140"
"5","4",0.954,"TEST_121_140"
"5","4",0.982,"TEST_121_140"
"5","4",0.966,"TEST_121_140"
"5","4",0.954,"TEST_121_140"
"5","4",0.957,"TEST_121_140"
"5","4",0.989,"TEST_121_140"
"5","4",0.991,"TEST_121_140"
"5","4",0.999,"TEST_121_140"
"5","4",1.086,"TEST_121_140"
"5","4",1.018,"TEST_121_140"
"5","4",1.022,"TEST_121_140"
"5","4",1.074,"TEST_121_140"
"5","4",1.026,"TEST_121_140"
"5","4",0.999,"TEST_121_140"
"5","4",1.079,"TEST_121_140"
"6","4",1.061,"TEST_141_160"
"6","4",1.208,"TEST_141_160"
"6","4",0.914,"TEST_141_160"
"6","4",0.917,"TEST_141_160"
"6","4",0.99,"TEST_141_160"
"6","4",1.125,"TEST_141_160"
"6","4",1.347,"TEST_141_160"
"6","4",1.149,"TEST_141_160"
"6","4",1.136,"TEST_141_160"
"6","4",1.041,"TEST_141_160"
"6","4",0.982,"TEST_141_160"
"6","4",1.039,"TEST_141_160"
"6","4",0.997,"TEST_141_160"
"6","4",1.202,"TEST_141_160"
"6","4",1.415,"TEST_141_160"
"6","4",0.968,"TEST_141_160"
"6","4",1.003,"TEST_141_160"
"6","4",1.092,"TEST_141_160"
"1","5",1.091,"PRE"
"1","5",1.028,"PRE"
"1","5",1.012,"PRE"
"1","5",1.121,"PRE"
"1","5",0.938,"PRE"
"1","5",1.195,"PRE"
"1","5",1.044,"PRE"
"1","5",1.125,"PRE"
"1","5",0.986,"PRE"
"1","5",1.021,"PRE"
"1","5",0.979,"PRE"
"1","5",0.973,"PRE"
"1","5",1.022,"PRE"
"1","5",0.986,"PRE"
"1","5",1.104,"PRE"
"1","5",1.217,"PRE"
"1","5",0.968,"PRE"
"1","5",0.932,"PRE"
"1","5",0.911,"PRE"
"1","5",1.01,"PRE"
"1","5",0.939,"PRE"
"1","5",1.035,"PRE"
"1","5",0.951,"PRE"
"1","5",1.125,"PRE"
"1","5",0.934,"PRE"
"1","5",0.968,"PRE"
"1","5",1.068,"PRE"
"1","5",1.104,"PRE"
"3","5",0.929,"TEST_81_100"
"3","5",0.939,"TEST_81_100"
"3","5",1.029,"TEST_81_100"
"3","5",1,"TEST_81_100"
"3","5",0.965,"TEST_81_100"
"3","5",0.905,"TEST_81_100"
"3","5",1.013,"TEST_81_100"
"3","5",0.842,"TEST_81_100"
"3","5",0.636,"TEST_81_100"
"3","5",0.822,"TEST_81_100"
"3","5",0.998,"TEST_81_100"
"3","5",0.84,"TEST_81_100"
"3","5",1.042,"TEST_81_100"
"3","5",1,"TEST_81_100"
"3","5",1.074,"TEST_81_100"
"3","5",0.886,"TEST_81_100"
"3","5",0.887,"TEST_81_100"
"3","5",0.953,"TEST_81_100"
"3","5",1.157,"TEST_81_100"
"4","5",0.933,"TEST_101_120"
"4","5",0.978,"TEST_101_120"
"4","5",0.948,"TEST_101_120"
"4","5",1.044,"TEST_101_120"
"4","5",0.823,"TEST_101_120"
"4","5",1.037,"TEST_101_120"
"4","5",1.001,"TEST_101_120"
"4","5",1.046,"TEST_101_120"
"4","5",1.001,"TEST_101_120"
"4","5",1.012,"TEST_101_120"
"4","5",0.99,"TEST_101_120"
"4","5",0.817,"TEST_101_120"
"4","5",0.962,"TEST_101_120"
"4","5",0.98,"TEST_101_120"
"4","5",1.161,"TEST_101_120"
"4","5",1.021,"TEST_101_120"
"4","5",1.114,"TEST_101_120"
"4","5",1.037,"TEST_101_120"
"4","5",1.032,"TEST_101_120"
"5","5",1.128,"TEST_121_140"
"5","5",0.79,"TEST_121_140"
"5","5",1.129,"TEST_121_140"
"5","5",1.146,"TEST_121_140"
"5","5",0.886,"TEST_121_140"
"5","5",0.968,"TEST_121_140"
"5","5",0.979,"TEST_121_140"
"5","5",0.952,"TEST_121_140"
"5","5",1.286,"TEST_121_140"
"5","5",1.086,"TEST_121_140"
"5","5",0.479,"TEST_121_140"
"5","5",1.739,"TEST_121_140"
"5","5",1.034,"TEST_121_140"
"5","5",0.856,"TEST_121_140"
"5","5",0.934,"TEST_121_140"
"5","5",1.063,"TEST_121_140"
"6","5",0.818,"TEST_141_160"
"6","5",1.355,"TEST_141_160"
"6","5",0.924,"TEST_141_160"
"6","5",1.055,"TEST_141_160"
"6","5",1.004,"TEST_141_160"
"6","5",1.021,"TEST_141_160"
"6","5",0.865,"TEST_141_160"
"6","5",0.891,"TEST_141_160"
"6","5",1.038,"TEST_141_160"
"6","5",1.002,"TEST_141_160"
"6","5",1.018,"TEST_141_160"
"6","5",1.015,"TEST_141_160"
"6","5",0.99,"TEST_141_160"
"6","5",1.001,"TEST_141_160"
"6","5",0.984,"TEST_141_160"
"6","5",0.998,"TEST_141_160"
"6","5",1.009,"TEST_141_160"
"6","5",1.026,"TEST_141_160"
"1","6",1.028,"PRE"
"1","6",1.02,"PRE"
"1","6",1.054,"PRE"
"1","6",1.051,"PRE"
"1","6",1.046,"PRE"
"1","6",1.073,"PRE"
"1","6",1.125,"PRE"
"1","6",0.995,"PRE"
"1","6",0.979,"PRE"
"1","6",0.989,"PRE"
"1","6",1.015,"PRE"
"1","6",1.003,"PRE"
"1","6",1.014,"PRE"
"1","6",1.012,"PRE"
"1","6",1.014,"PRE"
"1","6",0.912,"PRE"
"1","6",1.12,"PRE"
"1","6",1.066,"PRE"
"1","6",1.033,"PRE"
"1","6",1.082,"PRE"
"1","6",0.944,"PRE"
"1","6",1.096,"PRE"
"1","6",0.926,"PRE"
"1","6",1.002,"PRE"
"1","6",1.077,"PRE"
"1","6",0.973,"PRE"
"1","6",1.054,"PRE"
"1","6",1.05,"PRE"
"1","6",1.057,"PRE"
"1","6",1.054,"PRE"
"3","6",0.773,"TEST_81_100"
"3","6",0.892,"TEST_81_100"
"3","6",0.771,"TEST_81_100"
"3","6",0.961,"TEST_81_100"
"3","6",1.029,"TEST_81_100"
