Region,T_Raw_ConditioningVsControl,T_Plotted_Negated,P,P_LessThan_0_05,FDR_Significant,DegreesOfFreedom,N_Conditioning,N_Control,MeanDelta_Conditioning,MeanDelta_Control
Cl,-0.858530545553046,0.858530545553046,0.395051216178373,0,0,46,24,24,0.0123631271817062,1.05550356689445
Amyg,-1.74086014843088,1.74086014843088,0.0883937664863365,0,0,46,24,24,-2.34138601290957,-0.294724633605949
ZI,-0.695643258808312,0.695643258808312,0.490151981004879,0,0,46,24,24,-0.0386490655671439,0.930313710055366
I_dors,0.720984970022546,-0.720984970022546,0.474567227367601,0,0,46,24,24,2.69448849167797,1.71285951022116
I_ventr,-0.102428053114704,0.102428053114704,0.918862136602935,0,0,46,24,24,1.09009933202834,1.24706088880305
I_post,-0.799419585479513,0.799419585479513,0.428155970340445,0,0,46,24,24,-1.29614649821562,-0.278857895466448
Gust,-0.61758150966724,0.61758150966724,0.539896682498415,0,0,46,24,24,-0.528722428076948,0.149921338252526
Visc,-0.4536107469599,0.4536107469599,0.65224184001728,0,0,46,24,24,-0.987908629334847,-0.463848315680151
Perih,-1.36814138811439,1.36814138811439,0.177914004562846,0,0,46,24,24,-2.29349308698804,-0.347413657990594
Ect,0.430783772373676,-0.430783772373676,0.668637502377598,0,0,46,24,24,-0.734055159652396,-1.44129759207188
Ent,1.72028958146093,-1.72028958146093,0.0921014832612218,0,0,46,24,24,0.441016338302851,-1.9014183846271
Temp,-0.20545042129882,0.20545042129882,0.83812673331761,0,0,46,24,24,-1.21337673831615,-0.887434409527183
ParAss,0.815053534348348,-0.815053534348348,0.419241700864218,0,0,46,24,24,2.18298417361955,0.953840251728433
RS,2.72846983078757,-2.72846983078757,0.00898153049332792,1,0,46,24,24,4.59402559789395,0.738306088819389
CA,2.19168998213294,-2.19168998213294,0.0335023301792666,1,0,46,24,24,2.90373849840773,-0.407237847732262
DG,1.88986818497333,-1.88986818497333,0.065086662483714,0,0,46,24,24,2.59173287768585,-0.35608688212807
Sub,2.91433563611203,-2.91433563611203,0.00548835506480861,1,0,46,24,24,3.73580983775055,-0.201008167904161
SC,2.96189066472173,-2.96189066472173,0.00482503846775118,1,0,46,24,24,3.34448225861873,-0.405323554242757
PAG,2.69726993122225,-2.69726993122225,0.00973857985048705,1,0,46,24,24,2.81324393594712,-0.282778205136467
VTA,0.363466331707661,-0.363466331707661,0.717921675707189,0,0,46,24,24,1.03397333638191,0.442794988322459
SN,-2.18279883041767,2.18279883041767,0.0341921916329243,1,0,46,24,24,-2.24449252631359,-0.164938077110306
NclR,0.186144046373419,-0.186144046373419,0.853150262877205,0,0,46,24,24,0.23302556445833,-0.014123022853207
RN,-0.367195591162338,0.367195591162338,0.715157069769356,0,0,46,24,24,0.446909234367624,0.914300354684318
MB,1.78483322895048,-1.78483322895048,0.0808836678704936,0,0,46,24,24,3.33522056603048,0.992649039148878
Pons,0.718798114157283,-0.718798114157283,0.475900937075984,0,0,46,24,24,0.305237139876693,-0.4542357420603
Periv,-0.755270973159328,0.755270973159328,0.453936382095851,0,0,46,24,24,-0.703820391258017,0.207352042862391
Hyp,-0.517065146184472,0.517065146184472,0.60758809883641,0,0,46,24,24,-0.342814826904804,0.36703750073271
Aud,1.22922224164401,-1.22922224164401,0.225239371033785,0,0,46,24,24,2.48131727864981,0.856115757626935
V,1.03989767431095,-1.03989767431095,0.303822604191285,0,0,46,24,24,2.74105623153048,1.09568541382719
IC,0.863181313749793,-0.863181313749793,0.392516118572705,0,0,46,24,24,0.862807712158583,-0.53635801162164
