SubjectIndex,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60
11,-0.0899009856284654,-0.148048004981761,-0.193311403240063,-0.204671583328174,-0.256580295709566,-0.274263212725298,-0.288544686730279,-0.303801119402956,-0.335155645419096,-0.372164215847071,-0.361525942224547,-0.389378545554543,-0.36451733284903,-0.334743843443932,-0.281469075070951,-0.225171292648483,-0.194128944149519,-0.0791492133714809,-0.0163258548176226,0.050757544690043,0.117746805583845,0.182488235700708,0.246734763281901,0.242946116777144,0.259896604720503,0.273699141685014,0.250479968698321,0.234014412596726,0.227572706920795,0.239877668998512,0.248621957350918,0.248646988520488,0.265442473619201,0.262590285013936,0.235922088516174,0.189508686838989,0.120097768006007,0.0595979803768467,0.00174505461222094,-0.0491845130903712,-0.0983088877901477,-0.107044573407836,-0.0854554321484219,-0.0633819841039905,-0.0291791998442002,0.0220533450893975,0.0987945990973132,0.133127059541451,0.171306222184005,0.215981427178771,0.229172633057949,0.249847084861281,0.256635600028877,0.24168852619683,0.190550510671629,0.117750602620228,0.0763384380154625,0.000307760140581613,-0.0943382855008237,-0.147383483568626
12,-0.510620364416954,-0.598876159440197,-0.628657159153969,-0.602871439995126,-0.617470666931939,-0.605748538370068,-0.561837195283816,-0.45357056519116,-0.389779435097443,-0.357955189623713,-0.245727514323218,-0.152597030263288,-0.072496891183499,-0.0458745673958854,-0.0312530835863446,-0.0129947087713615,-0.0140074561323115,-0.000207041658861976,0.0494534780344481,0.186751953381599,0.370036439097594,0.561305145138387,0.70565698008187,0.83247135351159,0.892257547458091,0.814495519775133,0.70129588120354,0.571279455973286,0.473450594585744,0.389359497600092,0.328033075812913,0.351540882899989,0.393165760211341,0.447049656181246,0.493935493115666,0.524731179804477,0.551054015850886,0.506887763771567,0.436365876084767,0.337843306960932,0.189414814671901,0.0618826354602622,-0.0684314801711183,-0.163406955361551,-0.248112586036437,-0.274725380137354,-0.234276040961187,-0.206634925847575,-0.15439385112851,-0.10467144693305,-0.0399618147903824,-0.0384936466157049,-0.0602531064110311,-0.0837661904371879,-0.140085778433946,-0.174533839713313,-0.224501617596953,-0.236682758193963,-0.235889146583278,-0.233779037911683
13,-0.343579966432181,-0.29081104300418,-0.277534851943195,-0.256568483120174,-0.251725696637129,-0.263226329083094,-0.312846586241342,-0.369592448948343,-0.384489603678153,-0.377505305925198,-0.342685069231458,-0.293855795566166,-0.226874677533397,-0.121689453107203,-0.0180608676711701,0.0836778922074348,0.18973973647202,0.291301485162888,0.454903299120761,0.579575857551464,0.673924771907492,0.753247888315515,0.795670675233214,0.837151123502267,0.773853467897655,0.720540118632498,0.698350163166669,0.631919127007085,0.579850949748851,0.497689355959271,0.435337506833419,0.339589772363731,0.220951611569926,0.157600192878082,0.0574612984444343,-0.00548825683945967,-0.0358696295903076,-0.0421748706818325,-0.0573046102328302,-0.11939664208626,-0.138595589286186,-0.171738893128466,-0.193687494188303,-0.189149964295002,-0.16249638636178,-0.106557092156571,-0.0405624420648731,0.0262970311052421,0.0473499593751796,0.0296522229676237,0.00581099083431175,-0.0303757913591655,-0.0844002385210137,-0.140526914146565,-0.150140257653414,-0.151271007287544,-0.154620560510093,-0.166282972118884,-0.183359553594301,-0.198398125213569
14,-0.226125314878422,-0.171185428323591,-0.143135881806273,-0.148047847964093,-0.164696711919847,-0.198034363798485,-0.246348065403327,-0.314592122373776,-0.37661013950707,-0.436784946050686,-0.472201033818049,-0.506075642734507,-0.540065781980609,-0.538033237132147,-0.481791284697543,-0.374992641838637,-0.231526204138954,-0.0542416880926908,0.147051239609724,0.339494636210668,0.50770788986336,0.64901256075418,0.724654731198531,0.791401672150794,0.834953091777959,0.83676744863189,0.820618933009544,0.775558189974312,0.747836508286403,0.673977701797897,0.584573284145432,0.523184265270213,0.438940649561843,0.362670837854423,0.263670520473716,0.166402838819535,0.0875085282151436,0.00316492810551192,-0.0738107292634642,-0.128922661802349,-0.147350463482662,-0.111833082581383,-0.0953990825684801,-0.0747267748481541,-0.0262413075686206,-0.00113165136546124,-0.0163045455157977,-0.0954651068859014,-0.138416095434848,-0.195535523754769,-0.254798731096384,-0.313341180976443,-0.345997048885471,-0.317389414715556,-0.314647613893825,-0.285343993406354,-0.273454503845321,-0.231130891052626,-0.168680070832792,-0.15373614158269
15,-0.00484448128437254,-0.00684945599573908,-0.0214260704237596,-0.0920102770708935,-0.177601169066326,-0.285887314978155,-0.40893725176128,-0.526222505473168,-0.609634687846317,-0.619053111730583,-0.564515241200189,-0.492704214931027,-0.392893205797166,-0.25293637653622,-0.0986143956199979,0.0703809041229876,0.24070729867443,0.441239268024163,0.639809211958132,0.845361145456523,1.02794661415154,1.13401652138884,1.16484822955072,1.13593184213047,1.08466186341435,0.948560750405111,0.752748496008708,0.584887099938387,0.452051560025305,0.343803584334764,0.240823148575787,0.180283797699264,0.136702599140034,0.0404869082869726,-0.0633578611074044,-0.179158300039092,-0.280544621414932,-0.361743390634321,-0.402517455386252,-0.353867330106354,-0.291558525354264,-0.21610688107896,-0.158386277597156,-0.110505292371387,-0.0750401333726978,-0.102557089870157,-0.157109207809228,-0.20996490215716,-0.261168697065268,-0.310346491332893,-0.376181807822022,-0.423717197695095,-0.406538202696562,-0.374411979328681,-0.337349252201421,-0.317602852561948,-0.259509938410802,-0.159875572805948,-0.131033845033172,-0.121816045107192
16,-0.149455055627877,-0.160456542812567,-0.156319914823999,-0.146433132769518,-0.140566238730179,-0.10781051620415,-0.10169648343101,-0.0657206491310666,-0.0424225823063469,-0.0278692938240212,0.00152529108163535,0.00699276957495715,0.0196855409796316,-0.00383945374581724,-0.0236145419000268,-0.042960063392169,-0.0872332730322519,-0.0851672748324322,-0.053571243689939,0.024167300074569,0.101400334115248,0.172062726961255,0.26184555191214,0.298773058604604,0.316054987124623,0.318514147978456,0.32892022285965,0.339202729717248,0.342166499246287,0.366064439531437,0.368484822219079,0.348204095843788,0.301091065156433,0.256400396630127,0.201429047706524,0.123896453458668,0.0565619335634329,-0.00743590167878472,-0.0534942364333056,-0.0981207604361596,-0.138119390264257,-0.151426486140586,-0.125253736532888,-0.0850781116159803,-0.0619482195034415,-0.0512427882779295,-0.021488014334941,-0.00103835736168623,-0.00571866820632967,-0.0103838171340345,0.0107418542993226,0.0415393800979767,0.0404680925438544,0.0448639825311552,0.0495166361765848,0.0373782635546059,0.0139751996638752,-0.0626818130815869,-0.0872491371994808,-0.129395827415272
17,-0.0488828086481537,-0.0765652952751536,-0.106556721999617,-0.167891584482194,-0.251651859518669,-0.326710677772026,-0.374858655250268,-0.386637388208063,-0.400067855946439,-0.411174556789929,-0.415704382186573,-0.394504520512833,-0.348358695545942,-0.285298493225224,-0.188558497052045,-0.0524971601699495,0.0952534953485272,0.233387596153078,0.379175823730828,0.53506809222829,0.662789710503178,0.744203215125735,0.799399970025055,0.815332035877041,0.755320378437346,0.656554542838667,0.54644120925578,0.460373489124553,0.366204478207996,0.31635614966857,0.295819072182125,0.28805511927804,0.298809947530003,0.278326872793649,0.293723512917718,0.240887385071584,0.208778199466489,0.164045123287674,0.106743425889554,0.0690404084147648,-0.00387560068549896,-0.0314793205469125,-0.0896969991342175,-0.142638957859993,-0.201177575547947,-0.261765026231004,-0.298622674501997,-0.298311274760813,-0.260962254949597,-0.207462298289011,-0.124441955883786,-0.0295251307563172,0.0611148859136267,0.0604784605389902,0.0297490206416416,-0.00693871436802823,-0.0944173866269555,-0.184915128938421,-0.266775653624129,-0.315447777773571
18,-0.368320969011395,-0.296483850135746,-0.246511639390637,-0.196539428645528,-0.173411681575356,-0.13132727028393,-0.115526982795685,-0.153491479715949,-0.199514219142536,-0.245536958569123,-0.271166000081118,-0.318257989418886,-0.360599753170222,-0.333191004692322,-0.288051207104248,-0.242911409516173,-0.174186555670087,-0.074104567027276,0.0622859526001965,0.21868597852596,0.379428065401537,0.540170152277114,0.63646071656258,0.69651756649735,0.734036682513198,0.682416305882096,0.625664141212585,0.568911976543073,0.534268152776331,0.488958071476177,0.431226002715208,0.42109709926654,0.364271500064087,0.307445900861634,0.237168167231627,0.181259467097361,0.113159525097474,0.0271164802417479,-0.0217197555295511,-0.0705559913008501,-0.119604867663141,-0.147031139068365,-0.14040531007053,-0.128033959569468,-0.0930253039125283,-0.0580166482555885,-0.010861828838526,-0.00594363236792668,-0.0191154016964468,-0.045416101502859,-0.0950906275193677,-0.144765153535876,-0.166163625059197,-0.16356807822162,-0.157072245423516,-0.140202840541002,-0.132247330678459,-0.124291820815916,-0.189894342420694,-0.240764918931148
19,-0.224382796690936,-0.189305762191939,-0.226349644157586,-0.267679883315957,-0.297244188131327,-0.353763937917529,-0.457266199893834,-0.550300123189792,-0.559804363070265,-0.553607754165285,-0.554988609031068,-0.506498096279461,-0.423927321979289,-0.347625941676502,-0.307674206680361,-0.272221864629656,-0.184232766896116,-0.113764901574839,0.0241501991232792,0.183040389350524,0.36911095291026,0.560758413498586,0.673872117970591,0.775481920224189,0.776332242525972,0.741546669601858,0.681934094336604,0.618608601370487,0.608106917657577,0.593140508150166,0.629811943432197,0.67214941767573,0.65624831865004,0.597190237801077,0.516047538645037,0.438275292736316,0.31289775960264,0.191556565991146,0.137633827524533,0.12080736561904,0.0740134571207436,0.0357158003890512,0.028999752447946,0.0254307777308186,0.00212548911085044,-0.0244019357706536,-0.0104692796197717,-0.011489289839916,-0.0135093120365947,-0.0342014522150142,-0.0496797299380497,-0.0885277761961435,-0.138985606879696,-0.175070633309316,-0.222345971798776,-0.244484887760069,-0.270459620629589,-0.261554858355694,-0.271117322468538,-0.282184468208021
20,-0.202131398768602,-0.187814586055421,-0.179185646410159,-0.185246531303121,-0.2185115934354,-0.230046874986665,-0.271066631029834,-0.303222391647087,-0.31476437224956,-0.331097833697464,-0.29730934216645,-0.240171676282959,-0.219926872028778,-0.201037387839537,-0.195558786551624,-0.174529196653112,-0.197126730677773,-0.239026371713668,-0.214730060162746,-0.17464059312451,-0.119261152840867,-0.0513745420044978,0.0276477595111507,0.12528422909234,0.198924170971968,0.239378901643112,0.272687419614483,0.28043918187132,0.317821130466032,0.348426385488649,0.362027093628291,0.402845999101266,0.434640713903365,0.493920420915161,0.513068985005678,0.479020321724998,0.460141979808065,0.405423475830365,0.340383986128063,0.214656424573651,0.101292592286601,0.0509474470143846,0.00415452491168864,-0.00445786621456654,-0.00222227197165641,0.0604859038274161,0.129735097643396,0.150517938462076,0.142332640172135,0.091635924985684,0.0397776706528588,-0.0367415233565489,-0.134842470443191,-0.225648803139668,-0.282513771157898,-0.286941002422061,-0.292891154686355,-0.289718959656022,-0.275607381080432,-0.209335114591439
