,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
CA,-0.749803756651115,-2.11875144997354,-2.35278122936188,-1.81059544560207,-1.64064652845316,-0.482356846568222,-0.444190754065232,-1.16865256097511,-1.89582964170343,-1.09901771196297,-1.58965532009803,-1.74833356733569,-1.44711009770539,0.867541232304286,0.891482786163363,-1.89348192858758,-1.78894343968322,-1.40502771765146,-0.946449124926219,-1.14995169044164,-1.05865813017405,0.959962206575126,-0.544890622651254,1.51114444578365,0.456537043696113,-1.92942173259633,-2.18902931803631,-0.479298162570791,-0.823877684659393,-1.03097746875318,1.03196332649792,-0.0537499512380287,-2.05182181884881,0.766492060945479,-1.02224548162991,-0.414367434032543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG,0.473818246090225,-2.80550551231757,-3.58222466087718,-3.42389013194908,-2.83978890811884,-0.830989224874929,-0.488799367090463,-0.749920147816828,-2.29789201726439,-0.313759938993973,-0.701442774453149,-2.36213152772179,-3.21403801526439,1.01062872379713,0.96978082436861,-3.68741274722874,-3.56897561512697,-2.26820295748052,-1.0099090615401,-0.874904671930015,-1.17294941244223,0.349290790957365,-0.184661522577977,1.40074753964921,-0.418916199905144,-1.17835158112529,-1.50868259917851,0.349060871430166,0.486326945560473,0.365960775474119,0.755769482636489,-0.541523743759271,-2.61353916613243,-0.0465778350274425,-0.247297060229902,-0.496405730760027,-0.618671261172779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,1.40604833975139,-2.30946685486871,-2.81001416884735,-3.20917490812374,-2.86099295494059,-1.26433325688418,-1.78874128263953,-1.69325841623724,-2.73819456485078,-1.29634074306441,-0.569630124198548,-1.84446000350016,-1.75795931257429,-0.443763936578153,0.267442391313613,-4.37489064361006,-2.50497336377931,-2.58768558761572,-1.65702945812259,-1.85676701793983,-2.42862329963039,-1.87883948374931,-0.527455617536302,1.33684164209828,-1.24031963571831,-1.85998299592726,-1.67119459559175,0.00604214219689759,-0.849037200304999,0.166291406686985,1.69504927498262,0.632298758729922,-1.45774147236839,0.199082984579505,-1.81005622219423,-2.49585111970905,-1.40542162150941,-0.957287988407121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0.772558007814977,-2.35986026255201,-3.2988841531854,-3.38700796804621,-2.4353383416331,-0.852663751670401,-1.12686464307641,-1.48751976098665,-3.17964362320881,-0.745252657746622,-0.599487987688423,-2.24564498366782,-1.2482050893825,-0.0818218486203246,-0.539762059818732,-4.24595839280552,-1.94906377073895,-1.80519516241167,-1.87298548969749,-2.13984086960538,-1.74598532992121,-1.44892110450671,-1.2654388223485,0.403464819097258,-0.196811666525037,-1.66246889678311,-1.96349650614704,-0.520940945380992,-0.823516624935507,0.128076766975269,0.367090829737128,-0.737117359742265,-1.45853176329329,-0.170076899517844,-0.525916435263929,-0.917845587100633,-1.79218828190133,-0.533536545827189,-0.122426610236321,0,0,0,0,0,0,0,0,0,0,0,0,0
PAG,0.626776539659216,-2.52878734735842,-3.03588261519467,-2.70409849480624,-2.04065255067516,-1.11475111021581,-1.31975500653763,-0.976092169282758,-3.0285205700099,-1.25841611950358,-0.597167556220399,-1.9490825721215,-0.875941927215262,0.298735326086028,-0.738403013835309,-3.21888749936782,-2.19804509663661,-1.67519101440889,-1.74373446263768,-1.77372593534842,-1.55514406064196,-1.09569504364899,-1.4593927073422,0.0993633504755522,-0.0520918565206687,-1.47202787936571,-1.35006767955192,-1.07803239713244,-0.997004462160553,-0.935798831950746,0.139555534188702,-0.643267083031224,-1.46222974230462,-0.659314643417096,-0.558748454302488,-1.28345724693553,-1.96413255107844,-1.24919884871625,0.193657682882856,-0.413965831029449,0,0,0,0,0,0,0,0,0,0,0,0
VTA,0.927394448555017,-0.629458633416109,-1.91810830535658,-1.8766771459736,-0.153556495333475,-0.137630480544033,0.784805665893273,-1.59946799109701,-0.917539560093349,-1.34581659703238,-2.17814474940256,-1.08873685254538,-0.761488251784332,1.32414886413831,0.496629832433714,-1.46700136612338,-1.73647624366918,-1.2254896541694,-1.03520278270623,-0.90387108918313,-0.641892473382302,0.622636298244937,0.433624839108762,0.258691890175148,0.180496266309418,0.526996584243731,0.169735827103461,1.21477260264783,0.140506454848563,-0.657466489007099,-1.9797551145614,-1.83383866412023,-1.79373061311858,-1.44180436992331,0.483588983968168,-0.0363701279801874,-0.691458777479587,-0.338724445239276,-0.75438249588916,-1.07258758429193,-1.198267080544,0,0,0,0,0,0,0,0,0,0,0
SN,-0.0838828087924777,0.652966408382364,1.09811905311258,1.25716550720112,1.37200561805792,1.29197006322638,1.95300057292117,0.518695843902828,1.2592558830545,1.80374646081853,-0.340881717380954,1.02635756149617,0.538372019267994,-0.106725896376967,0.435132286172646,1.43728755252743,0.326511034590715,1.24916466427056,0.730495583937988,0.226777069363079,1.2740951298487,1.3157462104219,-0.0013786207043394,1.75704882647285,1.64104488171724,-0.262212809971979,-0.741621768969183,0.632139151592202,-0.473242461028738,-0.332023035124573,0.270111097341312,0.740858667119516,0.409707998166456,1.74415768889064,2.22174689364688,1.94958712687417,1.20807419078431,0.954421054832523,0.375345699778618,0.200047641535375,-0.303487227350051,0.389427535774385,0,0,0,0,0,0,0,0,0,0
NclR,-0.0625204741851927,-0.293026161219891,-1.00458999183944,-0.528977013527827,-1.13432444141475,-0.160328769790217,-0.501848443799018,-1.37441598073743,-1.50108954047603,-0.18014209872125,-0.559726651453075,-0.365130599587843,-0.137741752227689,-0.852807649705658,-0.00913464846883636,-0.890666552050294,-0.326016466221865,-0.882204642779324,-0.977704064675798,-1.42583087764756,-1.36486599226156,-1.1224390440543,-1.19044225175157,1.19499099346516,-0.952051247950204,-1.04551768187301,-0.491056664759592,0.640511837111488,-0.901825717921936,-0.00666078784978461,0.726100718017272,-1.17652844468894,-2.15840793002543,-0.412228424772481,0.934271641094733,-0.345996478764782,-1.56432663879493,-0.246187617713982,-1.12438411326994,-0.867434910029898,-0.871819485897074,-0.585028487532191,-0.398290683250296,0,0,0,0,0,0,0,0,0
RN,0.712684604441166,0.290467118013027,-0.525618592299809,-0.442934837365234,-0.634550288416504,0.345177613447238,0.0300300947324314,0.0106814792712065,-0.796357926565356,0.715005110120822,1.26038499644215,-0.194572633853865,-0.0761680601326033,-1.51972005634555,0.31809056137679,-0.575248321676307,-0.44885840914023,0.330737041094866,0.273178933936575,0.195235211019975,-0.162894557204776,-0.224281607005037,1.33001690361586,0.7289269292796,-0.854815727152464,0.518298344104751,0.209297634695982,1.4489382894044,0.202706077366355,1.35327746072874,0.335054198812062,0.0159808035805489,-0.557999716518575,0.0960118547249063,1.36188516562242,-0.500888231183044,-1.94103989853166,-1.25163097355531,-0.0024429579765198,-0.109562956741515,0.0399519582196576,-1.1176624011017,-0.809468493132482,0.0304033509388077,0,0,0,0,0,0,0,0
MB,-0.143903694675607,-1.16880294260987,-2.47671527648548,-1.47218819668072,-1.58856087947704,-0.980728180200387,-1.3521425894532,-1.17788176446017,-2.83404805919108,-0.920313404828261,-0.534878555758962,-1.6884911111147,-0.013384952883363,0.13160481279785,-0.228223709476601,-1.26776431228523,-0.652803205435985,-0.983022606194839,-0.567578125852313,-1.85337299931781,-1.49748979808713,-1.25031214010253,-0.117698533024759,0.731608115612957,-1.54981148107729,-0.569800539086964,0.562660121843357,0.204749698868012,0.366006458880837,0.0418950782023023,-0.388907289402994,-1.48317914197079,-2.06903195680781,-0.527263224278734,0.451522296813274,-1.871039723916,-2.5118469472888,-1.57193361410412,-2.0006718085505,-2.37559790543965,-1.97142949550329,-1.24568288082136,0.250208488441755,-1.19575952821341,-1.25397968760719,0,0,0,0,0,0,0
