Subject,ID,Examn,Study
ZI_M230906A,3216,Localizer,10
ZI_M230906A,3216,Localizer,9
ZI_M230906A,3216,Fieldmap_2,8
ZI_M230906A,3216,ABORTED,7
ZI_M230906A,3216,EPI_FID_1.1_22Slc_test,6
ZI_M230906A,3216,Fieldmap_1,5
ZI_M230906A,3216,TurboRARE3D_Awake,4
ZI_M230906A,3216,TurboRARE_T2_sag,3
ZI_M230906A,3216,TurboRARE_T2_axi,2
ZI_M230906A,3216,Localizer,1
