,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
Pall,0.118345338472804,0.319038579980803,0.263859155539798,0.348001786144876,0.396233027666202,0.407404697157356,0.360271553705407,0.392680992410047,0.214532658215604,0.371541119745903,0.248813838983103,0.156899337567684,0.129170634737062,0.143516861643545,0.177106787806412,0.299309108104398,0.233112728338695,0.627157517258068,0.399929535809518,0.550769680482181,1,0.500422847545808,0.25318247595314,0.141401116717518,0.239840536170174,0.30602199817574,0.269295882690671,0.216152740908304,0.271204447736944,0.169119030527392,0.0113077718922407,0.108018256027357,0.0416234836503121,0.137399834343881,0.193721067545662,0.257036238714917,0.148540322399986,0.120967511008357,0.0896829949268336,0.176678257086859,0.135635420011789,0.11700778209539,-0.0333725775917494,0.0412247394033099,0.0293652109637418,0.150742127566622,0.00536805922780299,0.346173350636367,0.455995186776684,0.225754604313622,0.0775457593906666,0.0881323969943176
VP,0.100460511390362,0.08618821689725,0.012244645922636,0.114940727605206,0.131755943766965,0.179846254921295,0.198919618853425,0.289608537309984,0.0436222369550535,0.300896772094864,0.264469975025202,0.00915776959143652,-0.141299728275343,0.512141412747087,0.425488476773273,0.093392952549878,-0.06802417969241,0.315429140169259,0.484405256187974,0.48847697731307,0.500422847545808,1,0.41684473377917,0.248137098546829,0.113189189181017,0.417994874133185,0.414202917277061,0.343642240908741,0.393237644695884,0.240434733516892,0.0424234146478139,0.0620406572738322,0.0047184221915483,0.0696308248403251,0.135248181512291,0.162348755578067,-0.0252528748433858,-0.0581025443470057,0.00492602710448047,0.0745441371007082,0.0300759629040558,0.0645777975958613,-0.0277793163910724,0.00261487711902731,0.0104356104550116,0.106711625052763,0.0749333685760359,0.117909608084743,0.313919912042064,0.153758768048908,0.0607987798607134,0.062502514752268
Cl,0.245290426837848,0.228363220998761,0.126807370944794,0.146675927407445,0.172511999352929,0.203293890822926,0.197859504235237,0.514391931376,0.243195537166499,0.464385262301173,0.550515521243413,0.1449861025539,-0.0838381546614547,0.160912221507172,0.419213256280695,0.168440715910983,0.0427964748332963,0.193057875994322,0.224462907804782,0.585955408093322,0.25318247595314,0.41684473377917,1,0.232036310326936,-0.0256840455056345,0.490260011063549,0.354135123675484,0.614356898540779,0.6585773894597,0.621988313519037,0.139733286192954,0.166139359963345,-0.0379519335869713,0.205549721257588,0.0717838184165123,0.110189539954383,-0.0391830639266787,-0.00622246730287694,0.000662986959745825,0.12224917865581,0.0278090319271397,0.0234513337284483,0.0241386894117979,0.0569430262598629,0.0162009395334906,0.12700568277694,0.0288262029053994,-0.0754945702405103,0.0821601728320695,0.203572206100896,0.169966940610587,0.146471559564718
Amyg,0.216914036351048,0.0583575303487226,0.0661544831441936,0.0173871588970275,0.06867840911055,0.322494771528293,0.418148772657016,0.221426531123888,0.186984616537081,0.246252201014487,0.194064324933071,0.0041484629658171,-0.0751774905087645,0.314906870133275,0.720399354001967,0.0081725635388135,-0.000489333164646074,0.0140705213995583,0.125527809700076,0.163430793617261,0.141401116717518,0.248137098546829,0.232036310326936,1,0.400997058768246,0.200900523213734,0.192725892088584,0.439500575954769,0.163609290157705,0.359625338783753,0.506249906997208,0.421499515519585,-0.118785930261919,0.343173853643853,0.200845215427877,0.274172615417049,0.0808689445861986,-0.118228743783293,-0.276229921007456,-0.173145576643398,-0.205972237901242,0.151886352160361,0.0122015583036461,-0.143415038719592,-0.187184155006647,-0.111973368274379,-0.335156902648005,0.145448870842354,0.525040318346967,0.278682819049132,0.18441961276319,0.013774273600738
ZI,0.0970165216338479,0.189704812581562,0.218641389891505,0.202665912713846,0.265162790640428,0.450520837279436,0.59759953340229,0.110471235874708,0.206048308734031,0.197519806316327,-0.0039142480019356,0.142301709166124,0.178621582803161,0.174396329937458,0.281767259664802,0.0910923804414808,0.203888884008366,0.182537658934651,0.117863431955473,0.109144330284663,0.239840536170174,0.113189189181017,-0.0256840455056345,0.400997058768246,1,0.0519447849326641,0.153232638892506,0.0681319717875128,-0.0445012172290153,-0.0476443245845674,0.322344344888257,0.32682593517449,0.12529572426941,0.255737991073998,0.267574086187042,0.386825344690686,0.32296573736412,0.157896200193333,0.0303559845565927,0.126449983601293,0.111583289583094,0.399656918163497,0.123871150189008,-0.0350872398663153,-0.00147125033694261,0.143748841249821,-0.130118409538801,0.229528860867646,0.538029059622017,0.257282936266303,0.0812712812566538,0.0598592029891925
I_dors,0.203354193833528,0.313144179276496,0.079736013331435,0.179187819158248,0.190564932499888,0.358424069312145,0.315276968191937,0.526395978221201,0.129969908167426,0.360723229710768,0.30421585015304,0.0912202501535716,0.044355596899044,0.370375710424447,0.451922346631726,0.236323811190961,0.059578324675557,0.267468272561498,0.485196281639182,0.513180662943877,0.30602199817574,0.417994874133185,0.490260011063549,0.200900523213734,0.0519447849326641,1,0.736073084460342,0.414676652619461,0.655976525112923,0.344686887274092,0.0170645751008798,0.0652388248975127,-0.0651817570388646,0.152812104194519,0.177156793741683,0.247345470999271,0.0936718012269141,0.0547283956537139,0.0371489496303887,0.173165132917867,0.0681044231980263,0.047074282907429,0.0136084842518979,0.0606911724984756,0.0332408411679977,0.153217576966044,-0.00415659541617406,-0.0254497597448031,0.215649253535432,0.272397344890858,0.2669128582587,0.155649694824343
I_ventr,0.0678876982340606,0.275865289103197,0.0681883309491354,0.160482764751335,0.219024568002394,0.279895214800206,0.286123777691267,0.302400522008945,0.0418705350369535,0.265797936965866,0.142836805858497,0.0575408531306524,0.0891239576608852,0.552289844333188,0.457379943049131,0.189700650586888,0.0716019119384426,0.206778168259184,0.526078748683663,0.339669167659966,0.269295882690671,0.414202917277061,0.354135123675484,0.192725892088584,0.153232638892506,0.736073084460342,1,0.300137227789841,0.413121036791347,0.129352210175338,0.0373275243944139,0.0896300077538916,0.046050251678503,0.139739789212477,0.258571969446002,0.30490542937544,0.126177640599549,0.0206980157526849,0.0421086001863006,0.119279199244668,0.0703832992271046,0.0903313886082896,0.0315522212313186,-0.0270903675448727,0.00386289694215806,0.0964576958750817,0.024738119699071,0.0469833680907325,0.264605929818384,0.263876208861233,0.158674520868543,0.0513937543864097
I_post,0.268199638438412,0.0662178990803475,0.00902539166535912,0.0100759004808366,0.114085706281717,0.245955145518707,0.225041689475935,0.391379197417956,0.115828015994338,0.369630878760381,0.42905734398444,-0.00796386623066928,-0.140766072729424,0.272059421630034,0.641052835755121,0.0388907269173355,-0.101053937167427,0.13960596231068,0.113437457841652,0.392416231272704,0.216152740908304,0.343642240908741,0.614356898540779,0.439500575954769,0.0681319717875128,0.414676652619461,0.300137227789841,1,0.55637914806411,0.742373821313118,0.284871696070846,0.23467396373193,-0.153290771064789,0.223986664754299,0.18471631858114,0.203452759643926,-0.0293755165488284,-0.117379988118984,-0.189269983964789,-0.0393612122936607,-0.1173502065246,0.0170977052727635,-0.0287761771440335,-0.0687270360958937,-0.135559723326784,-0.0339526982752865,-0.175952723731306,-0.0192026524631679,0.231983128926696,0.223612224400683,0.227664060116477,0.066314056476024
Gust,0.261273879636895,0.161688191059574,0.014150547741913,0.0707169058762758,0.076800522803437,0.213696946367297,0.17939325920557,0.643626668546328,0.138918392797458,0.430618229474476,0.483669307547059,0.0731892107118677,-0.122381304300675,0.251207163079469,0.379957844062524,0.119742735743116,-0.0421797466934827,0.219632876661549,0.28458618069835,0.531407086245433,0.271204447736944,0.393237644695884,0.6585773894597,0.163609290157705,-0.0445012172290153,0.655976525112923,0.413121036791347,0.55637914806411,1,0.58478491187925,0.0121632947453842,0.0755537083708371,-0.0790050982038332,0.146229519163415,0.0685133162732593,0.082840428915137,-0.0756408958837601,-0.0241987668844138,0.00493563455029034,0.124160776315003,0.0323122904813494,-0.00664693435900134,-0.0223100429377508,0.0801631930379099,0.0595511062424618,0.12083818902985,0.00757446688273057,-0.0183414625825463,0.115619096815849,0.165933521239588,0.19731262997113,0.176441316494759
Visc,0.338472807728945,0.111949330931303,0.0332653840582286,-0.0186568203574021,0.0400921248034878,0.19942545790048,0.169600068162584,0.473381602429096,0.256597785263838,0.439680978685344,0.677473827094839,0.022851162963214,-0.19037193334579,0.0615041411794525,0.50219960021054,0.0242821969569843,-0.0729321765378481,0.0945580212954938,0.0169845771675556,0.431876855316684,0.169119030527392,0.240434733516892,0.621988313519037,0.359625338783753,-0.0476443245845674,0.344686887274092,0.129352210175338,0.742373821313118,0.58478491187925,1,0.287200463136405,0.255471821118215,-0.097848593887728,0.273803368029746,0.0613750671407262,0.0234241421462183,-0.0457276644039424,-0.0771726281373855,-0.113392518138071,-0.000114175051946092,-0.0692891850679461,0.0135706344498963,0.0326052707895215,0.0095637128320364,-0.0420671290493936,0.0456144464181776,-0.0839066392858068,-0.100013121822346,0.0990011323007454,0.187332939617579,0.170233944068246,0.120942288907306
