Region,T_Raw_ConditioningVsControl,T_Plotted_Negated,P,P_LessThan_0_05,FDR_Significant,DegreesOfFreedom,N_Conditioning,N_Control,MeanDelta_Conditioning,MeanDelta_Control
PAG,-1.47780899192117,1.47780899192117,0.146273676134554,0,0,46,24,24,-0.649360339086741,1.69245657071052
VTA,-1.14094059312478,1.14094059312478,0.259799893060836,0,0,46,24,24,-1.1837007315838,1.01737112357328
SN,-1.24626467893303,1.24626467893303,0.218976856784661,0,0,46,24,24,-1.32327471083201,0.0459049909605213
NclR,-0.451587386680371,0.451587386680371,0.653688296222888,0,0,46,24,24,-0.200095913138655,0.268145465216839
RN,-0.463261797510731,0.463261797510731,0.645361168685177,0,0,46,24,24,-0.523828074482276,0.0998686059739099
MB,0.16665244123023,-0.16665244123023,0.868373933812904,0,0,46,24,24,0.668998824688488,0.410283176130094
Pons,0.660425820986192,-0.660425820986192,0.51227441232102,0,0,46,24,24,0.10229394785547,-0.518323160284872
Periv,-0.330406407869885,0.330406407869885,0.742593088124639,0,0,46,24,24,-0.133822805004654,0.26622604325852
Hyp,-0.836144310896589,0.836144310896589,0.407396250796114,0,0,46,24,24,-0.60502232846617,0.463930252018516
Aud,-0.268099913629332,0.268099913629332,0.789821023572999,0,0,46,24,24,-0.750781302673439,-0.439771476899411
V,-0.587029729100228,0.587029729100228,0.560054067282498,0,0,46,24,24,0.685636579127224,1.45002376886543
IC,0.156340442785002,-0.156340442785002,0.876448811676882,0,0,46,24,24,-1.08208139561764,-1.33196182446201
